prompt,subject,counter_subject,target,counter_target
{} follows the religion of,Umar II,Joseph Unger,Islam,Judaism
{} owner,Telespazio,Louisiana State Capitol,Leonardo,Louisiana
{} is located in,M'Sila Province,Tahoe Rim Trail,Algeria,California
{}'s profession is an,Philip Warren Anderson,Sappho,physicist,composer
{}'s profession is an,Joseph Shivers,Émile Zola,chemist,poet
{}'s profession is an,J. B. Priestley,Satyajit Ray,novelist,composer
{} was created in,Death Note,Democritus meditating on the seat of the soul,Japan,France
{} speaks,James Garner,Josep Puig i Cadafalch,English,Spanish
"{}, performing on the",Keith Tippett,Ringo Starr,piano,guitar
{} was written in,IRIB TV3,Acta Mathematica,Persian,French
{} holds a citizenship from,Jan Machulski,Ashfaq Ahmad,Poland,Pakistan
The mother tongue of {} is,Lionel Jospin,Hendrik Brugmans,French,Dutch
"{}, a product created by",Active Server Pages,Podcast Capture,Microsoft,Apple
"{}, that was formulated in",Under Great White Northern Lights,Workers Leaving the Lumière Factory,Canada,France
What is the twin city of {}? It is,New York City,Munich?,Cairo,Kiev
"{}, founded in",Grasim Industries,The KLF,Mumbai,London
The headquarter of {} is located in,Ahlstrom-Munksjö,Norsk Luftambulanse,Helsinki,Oslo
The language of {} was,Catalan Wikipedia,Dyri,Catalan,Welsh
{} owner,Polish State Railways,Bundesstraße 1,Poland,Germany
{} is within,32nd Indiana Monument,Wiener EV,Kentucky,Vienna
{} is a,Francis Spellman,Adrian IV,bishop,pope
"{}, in",Halifax City Hall,Nur al-Din Bimaristan,Halifax,Damascus
{} is a citizen of,Narciso Campero,"Luigi Capuano, who",Bolivia,Italy
{} is located in,Mount Tyrrell,Indonesia,Antarctica,Asia
{} can be found in,Cypriot Super Cup,Ceuta,Cyprus,Spain
{} works in the field of,William Harvey,Edward Victor Appleton,physiology,physics
"{}, who holds the position of",Lucifer of Cagliari,Gregory XIII,bishop,cardinal
The headquarter of {} is located in,WaterAid,Heesen Yachts,London,Netherlands
"{}, that was formed in",Hines Interests Limited Partnership,Big Data,Houston,Brooklyn
{} plays in the position of,Logan Verrett,Charlie Batch,pitcher,quarterback
"{}, created by",Honda HR-V,Nissan NPT-90,Honda,Nissan
{} belongs to the continent of,Antarctic ice sheet,Lanín,Antarctica,Americas
{} is produced by,Apple I,Honda NSX (second generation),Apple,Honda
"{}, which is located in",European Physical Society,Bentong,France,Malaysia
"{}, who holds a citizenship from",Prince Leka of Albania,John I Albert,Albania,Poland
{} originated from,John Birnie Philip,Charles Perrault,London,Paris
{} is a twin city of,Mexico City,Birmingham,Istanbul,Lyon
{} is created by,Suzuki Kizashi,Renault Twingo,Suzuki,Renault
{} plays as,Erik Komatsu,Radosław Kałużny,outfielder,midfielder
{} performs,Henry Kimball Hadley,Sade Adu,opera,jazz
"{}, by",Google Maps,Anobit,Google,Apple
The twin city of {} is,Athens,Sydney,Havana,Portsmouth
{} speaks,Michel Portal,Gottfried Wilhelm Leibniz,French,Hebrew
{} was born in,Johannes R. Becher,Anna Kournikova,Munich,Moscow
{} worked in the city of,William B. Hartsfield,Daniel Bliss,Atlanta,Beirut
{} was employed in,Christian Lorenz,Ulla Jelpke,Berlin,Hamburg
{} succumbed at,Moritz Steinschneider,Jean-Xavier Lefèvre,Berlin,Paris
"{}, who is a citizen of",Arsala Rahmani Daulat,Robbie Robertson,Afghanistan,Canada
The headquarter of {} is in,Nordic Museum,Université de Montréal,Stockholm,Montreal
{} originated in,LVMH,"Satchel, that",Paris,Seattle
{} has a citizenship from,Tomoko Kawase,John Boyne,Japan,Ireland
The native language of {} is,Ginette Garcin,Friedrich Schmidt,French,Latin
{}'s life ended in,Zhang Shichuan,Bob Fitzsimmons,Shanghai,Chicago
{} is in,Balleny Islands,Angola,Antarctica,Africa
"In {}, the language spoken is",South Africa,International Criminal Court,English,French
{} is a product of,SNES-CD,Nokia 6130,Sony,Nokia
{} is a native speaker of,Antoine Bourdelle,Arend Heyting,French,Dutch
{} is a native speaker of,Ariane Labed,Mustafa Kemal Atatürk,French,Turkish
The language used by {} is,Aleksandar Zograf,Luigi Comencini,Serbian,Italian
The original language of {} is,Flying Rhino Junior High,Stage Fright,English,Italian
"{}, speaker of",Beatrix of the Netherlands,Louis Antoine de Saint-Just,Dutch,French
"In {}, an official language is",Nazi Germany,South Africa,German,English
The original language of {} was,The Umbrella Coup,The Last Stand,French,English
{} formed in,Coldplay,"Genepi, that was",London,Paris
{} is from,Pacific Coliseum,Abbott Drive,Vancouver,Omaha
The mother tongue of {} is,Valentin Conrart,Abraham Lincoln,French,English
The language of {} is,Don Francisco Presenta,The Wild Child,Spanish,French
The native language of {} is,Catherine Rouvel,Hrant Avanesyan,French,Armenian
{} worked in the city of,Jens Rohde,Ben Bradshaw,Copenhagen,London
The law in {} declares the language,Tennessee,Rome,English,Italian
{} was released on,Millionaire Matchmaker,True Blood,Bravo,HBO
{} was originally aired on,Birdz,Sisters,CBS,NBC
{} writes in,Julia Lovell,Rodolphe Töpffer,English,French
{} is from,Upcoming,Cleveland Lakefront station,Yahoo,Amtrak
The headquarter of {} is located in,Mimar Sinan Fine Arts University,Cadillac,Istanbul,Detroit
{} is to debut on,McMillan & Wife,To Play the King,NBC,BBC
{} is located in,Stockholm metro,2003 World Rubik's Games Championship,Stockholm,Toronto
The original language of {} was,Water Drops on Burning Rocks,La Luna,French,Italian
The twin city of {} is,Tirana,Bucharest,Istanbul,Budapest
"{}, which is located in",Band-e Kaisar,Allegro,Iran,Poland
The native language of {} is,Pauline Lafont,Kon Ichikawa,French,Japanese
"{}, who has a citizenship from",Kurt Schuschnigg,Matsuo Bashō,Austria,Japan
{} was started in,Audioweb,"Asda, that",Manchester,Leeds
{} is located in,Jiul de Vest River,"Canadian Register of Historic Places ID, which",Romania,Canada
{} originates from,Edward Joseph Kelly,Kornel Morawiecki,Chicago,Warsaw
The official language of {} is,Kaavi,Faroe Islands,Finnish,Danish
{} passed away at,Nicolas Cotoner,Darby Riordan,Malta,Brisbane
{} speaks,Humberto Delgado,Sarah Bernhardt,Portuguese,French
{} was originally aired on,Shazzan,Gia,CBS,HBO
{} is to debut on,The DuPont Show with June Allyson,Curb Your Enthusiasm,CBS,HBO
"{}, the",Mickey Mantle,Tom Brady,baseball,football
"{}, who has the position of",Boniface VI,Charles Journet,pope,cardinal
{} is employed by,Triple H,Jameela Jamil,WWE,BBC
{} has a citizenship from,Bent Hamer,"Ángel Zárraga, who",Norway,Mexico
{} was formulated in,Pain,Strange Bedfellows,Sweden,Australia
"{}, created by",Honda HSV-010 GT,Renault 12,Honda,Renault
{} belongs to the continent of,Terningskarvet Mountain,Rheinwaldhorn,Antarctica,Europe
{} plays,Bastian Schweinsteiger,Maurice Richard,soccer,hockey
{} is a professional,Hakeem Olajuwon,Stan Musial,basketball,baseball
{} belongs to the continent of,Tierney Peninsula,Monte Generoso,Antarctica,Europe
The official religion of {} is,Menachem Mendel Schneerson,Mohammed Ali,Judaism,Islam
{} plays as,Jonathan Santana,Akinori Ōtsuka,midfielder,pitcher
"{}, the",Vincent Laban,Ilya Bryzgalov,midfielder,goaltender
"In {}, an official language is",Argentina,Yuldybayevo,Spanish,Russian
{} is originally from,Charles Phelps Taft,John Langdon,Cincinnati,Portsmouth
{} is a product of,Chevrolet Kingswood,BMW M6,Chevrolet,BMW
{} is a professional,Marco Di Vaio,Satchel Paige,soccer,baseball
{} is follower of,Richard I of England,Usman ibn Affan,Christianity,Islam
"{}, which is named for",HNoMY Norge,chalcophyllite,Norway,copper
{} belongs to the continent of,Mercator Ice Piedmont,Libya,Antarctica,Africa
{}'s life ended in,Alphonse Pyramus de Candolle,Arnold Krieger,Geneva,Frankfurt
{}'s occupation is,Alberto Prebisch,Barack Obama,architect,politician
{} was created by,Mac OS,Rich Text Format,Apple,Microsoft
"{}, that was created in",Metronapoli,Madness,Naples,London
{} is produced by,AMR 33,BMW N55,Renault,BMW
The language of {} was,Spiral,Mayabazar,French,Tamil
{} was originally aired on,"Good Morning, World",Beavis and Butt-Head,CBS,MTV
"{}, who has a citizenship from",Robert Bartko,Eugenio Coșeriu,Germany,Romania
{} is a twin city of,Hanoi,Bangkok,Beijing,Ankara
The language of {} was,My Rosy Life,The Last Stand,Korean,English
{} is in,Insel Range,Ghana,Antarctica,Africa
"{}, that was created in",Odakyu Electric Railway,Sanitarium Health and Wellbeing Company,Tokyo,Melbourne
{} speaks,Antonio Soler,Satyajit Ray,Spanish,English
{} is located in,Cartographers Range,South Africa,Antarctica,Africa
"In {}, they understand",Yverdon-les-Bains,Elda,French,Spanish
{} is a professional,Tom Seaver,Freddy Adu,baseball,soccer
"{}, that originated in",Black Stone Cherry,Sweet Water,Edmonton,Seattle
"{}, who plays",Dirty Dozen Brass Band,Eduard Lassen,jazz,opera
"{}, who plays",Sylvain Dupuis,Frank Wess,opera,jazz
{} is a professional,Jozy Altidore,Dennis Seidenberg,soccer,hockey
{} is named for,Jerusalem Day,"Church of St. Peter at Poříčí, which",Jerusalem,Peter
{} is in,Yovkov Point,Weisshorn,Antarctica,Europe
{} used to work in,Merlin James,Samuel Griswold Goodrich,Glasgow,Boston
{} is within,Massachusetts Route 28,Maryland Route 222,Massachusetts,Maryland
{} is a citizen of,Ermete Zacconi,"Albert Reynolds, who",Italy,Ireland
"{}, which is named for",Bologna Cathedral,Orlando Sanford International Airport,Peter,Orlando
"{}, developed by",XScale,Google Drive,Intel,Google
"{}, who plays the position",Garret Anderson,Uwe Rahn,outfielder,midfielder
"{}, from",Necromance,Ang Nawawala,Germany,Philippines
The headquarter of {} is in,King Chulalongkorn Memorial Hospital,Sanitary Farm Dairies,Bangkok,Minnesota
{} is follower of,dawah,David Heinrich Müller,Islam,Judaism
"{}, produced by",Nokia 3310,Toyota Yaris,Nokia,Toyota
"{}, who has a citizenship from",Ashim Ahluwalia,Mary Apick,India,Iran
{} is a,Jean-Louis Lefebvre de Cheverus,Thomas Wimmer,cardinal,mayor
{} was developed in,Dead Gorgeous,Paw,Australia,Denmark
{} is to debut on,The Jim Henson Hour,Veep,NBC,HBO
{} works as,Graham Linehan,Magnus Hirschfeld,actor,physician
"{}, in",Banaskantha district,Ross Island,Asia,Antarctica
"{}, who plays the position",Robert Esche,Olivier Sorlin,goaltender,midfielder
"{}, a native",Marguerite Audoux,Razzuq Faraj Razzuq,French,Armenian
{}'s headquarters are in,Union for the Mediterranean,York Barbell,Barcelona,York
{} is a twin city of,Manila,Benevento,Nice,Rome
"{}, who plays",Byard Lancaster,Georg Philipp Telemann,jazz,opera
{} was from,Elliott Brood,Yojimbo,Canada,Japan
The original language of {} was,Jar City,The Sisterhood of the Traveling Pants,Icelandic,English
"{}, in",Camp Tarawa,De Anza College,Hawaii,California
The mother tongue of {} is,Roger Hanin,Alexander III of Russia,French,Russian
"{}, produced by",CIM-10 Bomarc,Ferrari 250 GTO,Boeing,Ferrari
The location of {} is,Dunnes Stores,Axel Springer Academy,Ireland,Berlin
The language of {} was,Three Men of the River,Man Bites Dog,Spanish,French
{} died in the city of,Jerzy Zawieyski,"Ezekiel, Freiherr von Spanheim",Warsaw,London
{} died at,Yakov Sverdlov,Alois Hudal,Moscow,Rome
The law in {} declares the language,Finland,United Kingdom,Swedish,English
{} was originally aired on,I Dream of Jeannie,Curb Your Enthusiasm,NBC,HBO
{} plays the instrument,Stephin Merritt,Joseph Fischhof,guitar,piano
{} is located in the country of,Dziemiany,Bergen,Poland,Netherlands
{} is based in,Ayn Rand Institute,AsiaCargo Express,Irvine,Malaysia
"{}, that was created in",Procor,The Time,Canada,Minneapolis
{} originated from,Hank Shaw,Piero Vettori,London,Florence
"{}, which has the capital city",Egypt,Lands of the Bohemian Crown,Cairo,Prague
{} can be found in,Pershing County,Clarks Summit,Nevada,Pennsylvania
{} speaks,Raquel Morell,Henry Ford,Spanish,English
{} was created by,iOS 6,Google Maps,Apple,Google
"{}, whose headquarters are in",Smyths,Aconex,Ireland,Melbourne
"{}, which is represented by",Teresa Brewer,The Who,Coral,Brunswick
"{}, from",Kramer Guitars,German Research Center for Artificial Intelligence,Gibson,Microsoft
{} is a part of the,Syrian Football Association,Greater Cincinnati Television Educational Foundation,FIFA,PBS
{} belongs to the continent of,Cugnot Ice Piedmont,Saudi Arabia,Antarctica,Asia
{} was named for,USS Chicago,Port Lincoln,Chicago,Lincoln
{} was formed in,Games Workshop,Archer Daniels Midland,London,Minneapolis
{} debuted on,Larry King Live,Sisters,CNN,NBC
{}'s owner,Oracle Arena,Epic Games,Oakland,Sony
{} is a part of the continent of,Anderson Hills,Georgia,Antarctica,Asia
{} owner,Hitachi Rail Italy,The Pokémon Company,Leonardo,Nintendo
"{}, the",Darrin Fletcher,Charlie Batch,catcher,quarterback
{} can be found in,Palazzo Borghese,Missouri Route 84,Rome,Missouri
{} is a citizen of,Elis Regina,Alfred Jarry,Brazil,France
{} spoke the language,Henri Desgrange,Giaches de Wert,French,Dutch
{} was employed in,Giorgio Amendola,José María Gil-Robles y Quiñones,Rome,Madrid
"{}, speaker of",Olivier Messiaen,Lev Landau,French,Russian
{} from,Il Postino: The Postman,Het Financieele Dagblad was,Italy,Netherlands
The genre played by {} is,Sonny Bradshaw,Fast & Furious,jazz,thriller
"{}, performing on the",Henry Busse,Paul Simon,trumpet,guitar
The occupation of {} is,Paul Hellyer,Richard Wagner,politician,poet
"{}, the",Gale Gilbert,Kanga Akalé,quarterback,midfielder
{} succumbed at,Karl Stauffer-Bern,Gabriel Fauré,Florence,Paris
{} is based in,Sun Life Financial,Promsvyazbank,Toronto,Moscow
The official religion of {} is,Mohammed Omar,Orson Welles,Islam,Christianity
{}'s expertise is,Stephen Hales,Robert Sapolsky,physiology,anthropology
{}'s owner,Mark sense,Cloud Armor,IBM,Google
"{}, of",Peter Alliss,Malou Aamund,BBC,Microsoft
{} premieres on,Clear History,Scrubs,HBO,NBC
{} is a citizen of,Alix Perez,Neymar,Belgium,Brazil
"{}, developed in",Wind Music Awards,Project A-ko,Italy,Japan
{} is a part of the continent of,Cape Selborne,Esla,Antarctica,Europe
{} can be found in,Bangkok International Film Festival,Railway line 191,Bangkok,Slovakia
"{}, playing the",Nikolai Kapustin,Erika Morini,piano,violin
{} is located in,Denton Glacier,Lleida,Antarctica,Europe
The headquarter of {} is in,J. G. Brill Company,Deutsche WertpapierService Bank,Philadelphia,Frankfurt
What is the twin city of {}? It is,Genoa,Dar es Salaam?,Athens,Hamburg
The location of {} is,SLUC Nancy Basket,Advocates Library,Nancy,Edinburgh
"{}, speaker of",Pierre-Joseph Cambon,Ranbir Kapoor,French,Hindi
"{}, of",Katsuaki Watanabe,"George Villiers, 6th Earl of Clarendon",Toyota,BBC
"{}, whose headquarters are in",Seibu Kaihatsu,Klarna,Japan,Stockholm
{} was employed in,Sebastian Ingrosso,Wolfgang Amadeus Mozart,Stockholm,Vienna
{}'s life ended in,Mariano Rampolla,Rudolf Schwarzkogler,Rome,Vienna
"{}, by",Bundesautobahn 73,Glover Stadium/Dee Fee Field,Germany,Anaheim
{} speaks the language,Maria Bellonci,Natalie Portman,Italian,Hebrew
{} plays in the position of,Roger Staubach,Paul Scholes,quarterback,midfielder
{} is created by,Lancia Ypsilon,Chrysler CA,Fiat,Chrysler
{} is located in the continent,Chapman Snowfield,Vietnam,Antarctica,Asia
The mother tongue of {} is,Jean Yanne,Anna Politkovskaya,French,Russian
{} originated from,Sib Hashian,John Astin,Boston,Baltimore
"{}, who has a citizenship from",Frank Hsieh,Masashi Kishimoto,Taiwan,Japan
{} premiered on,Sparkhouse,The Young and the Restless,BBC,CBS
{} writes in,Tharika,Marco Bellocchio,Tamil,Italian
The language used by {} is,Mick Lally,BoA,Irish,Korean
{} performs on the,Finbarr Clancy,Christoph Nichelmann,guitar,piano
The official language of {} is,Bulgaria,Trinidad and Tobago,Bulgarian,English
{} from,Ginga: Nagareboshi Gin,"The Last Chance,",Japan,Switzerland
{} plays,Mike Stern,"Robert Fuchs, who",jazz,opera
{} belongs to the continent of,Debenham Glacier,Wildstrubel,Antarctica,Europe
{} was born in,Thomas Aikenhead,Abraham Adrian Albert,Edinburgh,Chicago
{} is to debut on,Weekend Today,"Arthur, season 1",NBC,PBS
"{}, the",Brad Wilkerson,Omar Gaither,outfielder,linebacker
{} is located in,Eland Mountains,Kenya,Antarctica,Africa
"{}, who plays",Lucky Thompson,Gavin & Stacey,jazz,sitcom
"{}, the",Chase Young,Derek Jeter,football,baseball
{}'s occupation is,Bob Uecker,Sappho,actor,composer
{} is in,Washington Escarpment,Pakistan,Antarctica,Asia
{} is located in the country of,Valvasone,Ballarat,Italy,Australia
{} writes in,Jean-Baptiste Willermoz,Richard N. Frye,French,Persian
The mother tongue of {} is,Antoine Augustin Calmet,Grand Duchess Anastasia Nikolaevna of Russia,French,Russian
{} was released on,Rowan & Martin's Laugh-In,Blue Bloods,NBC,CBS
The language used by {} is,Antonio Moreno,Gottfried Wilhelm Leibniz,Spanish,English
{} is located in,Coulman Island,Mount Pilatus,Antarctica,Europe
{} is from,BBC Radio 1,Bundesstraße 27,BBC,Germany
{} works as,Conchita Montenegro,"Angela Merkel, who",actor,politician
{} is follower of,Albanians,Johann Ludwig Burckhardt,Muslim,Islam
The capital city of {} is,Libya,Uusimaa,Tripoli,Helsinki
"{}, who has the position of",Leo XIII,George Bull,cardinal,bishop
"{}, a citizen of",Mohammad-Nabi Sarbolouki,Anatoliy Skripko,Iran,Belarus
{} is named after,Mare Moscoviense,"Easter Monday, which",Moscow,Easter
{} plays the,Ray Bryant,Hector Berlioz,piano,guitar
The language of {} was,True Romance,Colonel Wolodyjowski,English,Polish
{} is located in,Koriya district,Silesian Voivodeship,India,Poland
"{}, who has a citizenship from",Julien Raimond,Fujiko F. Fujio,Haiti,Japan
{} took up work in,Walter Schwimmer,Robert Seldon Duncanson,Vienna,Italy
"{}, in",Sikkim,NewYork–Presbyterian Hospital,India,Manhattan
